text,topic,source_type,source_credibility,article_length,contradiction_score,semantic_similarity,readability_score,sentiment,trust_score
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,606,0.08,0.4,53.08,Positive,50.67
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,2616,0.9,0.65,74.11,Negative,42.26
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,3472,0.8,0.89,79.24,Neutral,71.31
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Blog,4,3947,0.72,0.6,76.6,Neutral,44.74
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,205,0.64,0.41,61.27,Negative,65.11
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,273,0.53,0.66,65.76,Neutral,69.4
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,2649,0.1,0.5,47.18,Negative,76.45
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Blog,4,1286,0.55,0.64,89.41,Neutral,46.79
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,553,0.32,0.48,93.57,Negative,53.18
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,1163,0.89,0.7,68.26,Negative,42.05
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Government Website,8,1426,0.33,0.87,83.12,Neutral,93.29
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,3903,0.87,0.81,34.32,Positive,33.26
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,4309,0.91,0.96,90.94,Neutral,62.38
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Social Media Post,3,399,0.57,0.5,51.28,Positive,33.14
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,1930,0.78,0.52,36.69,Negative,49.31
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,4280,0.59,0.8,38.0,Positive,80.8
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,3296,0.74,0.96,36.59,Positive,73.4
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,4149,0.56,0.94,58.0,Positive,43.59
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,1031,0.95,0.79,68.1,Neutral,78.57
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,4527,0.87,0.82,30.91,Neutral,49.21
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,1160,0.54,0.56,40.59,Neutral,76.37
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,4155,0.93,1.0,72.04,Positive,38.53
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,4355,0.38,0.64,65.98,Neutral,65.85
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,3264,0.48,0.56,95.92,Positive,45.2
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,News Article,6,4380,0.18,0.56,53.45,Positive,60.7
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,3932,0.79,0.98,52.44,Positive,29.34
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,3379,0.24,0.82,58.75,Positive,47.79
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,461,0.51,0.87,40.29,Negative,64.35
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,4357,0.96,0.75,67.45,Negative,30.46
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,3253,0.59,0.54,61.86,Positive,64.7
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,2475,0.87,0.74,89.18,Neutral,78.38
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,2428,0.7,0.49,60.32,Negative,33.05
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,4809,0.12,0.8,78.99,Neutral,93.64
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,189,0.64,0.75,37.02,Neutral,82.46
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,224,0.85,0.47,70.09,Neutral,73.87
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,507,0.97,0.63,62.84,Neutral,61.29
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,3130,0.24,0.83,45.21,Positive,85.26
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,News Article,6,4890,0.03,0.92,78.74,Negative,77.95
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,1055,0.51,0.64,30.73,Neutral,72.7
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,3068,0.63,0.59,93.62,Negative,74.49
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,1049,0.14,0.81,87.19,Neutral,65.88
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,2886,0.69,0.47,35.54,Negative,48.27
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,4012,0.53,0.71,37.19,Positive,52.51
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,News Article,6,1694,0.84,0.64,54.5,Negative,48.33
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,3725,0.99,0.43,34.86,Negative,52.01
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,3014,0.85,0.86,50.79,Neutral,31.81
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,4500,0.67,0.66,39.28,Negative,63.89
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,1100,0.2,0.68,76.7,Positive,68.2
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,159,0.94,0.8,30.13,Neutral,52.59
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,3578,0.45,0.54,93.39,Negative,72.63
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,4598,0.28,0.72,94.31,Negative,60.29
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,1630,0.43,0.41,82.8,Neutral,81.99
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,4538,0.98,0.51,41.24,Negative,18.52
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,3772,0.71,0.8,57.85,Neutral,54.98
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,2883,0.09,0.48,74.86,Neutral,55.93
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,1410,0.18,0.72,43.98,Negative,53.38
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,4721,0.83,0.78,71.55,Negative,72.82
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,3067,0.02,0.62,42.39,Negative,39.92
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,1090,0.85,0.63,30.16,Neutral,60.42
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,4343,0.23,0.7,95.94,Neutral,95.08
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,3067,0.24,0.87,71.42,Negative,93.07
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,750,0.48,0.73,58.04,Negative,41.22
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,489,0.49,0.63,33.85,Positive,65.51
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,2739,0.35,0.55,67.3,Negative,35.58
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,1188,0.62,0.77,60.29,Negative,47.73
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,1002,0.46,0.89,38.76,Positive,85.69
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,4773,0.59,0.53,67.2,Negative,59.96
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,147,0.48,0.53,47.24,Negative,60.04
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,4049,0.23,0.51,41.92,Neutral,81.88
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,2992,0.58,0.42,93.45,Negative,80.04
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Research Paper,9,1733,0.04,0.73,58.82,Negative,100.0
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,2325,0.84,0.57,91.28,Positive,35.95
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,1553,0.13,0.65,74.55,Positive,99.3
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,3416,0.49,1.0,83.47,Neutral,51.93
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,209,0.78,0.89,54.84,Positive,46.23
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,2600,0.73,0.53,49.61,Positive,45.73
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,3665,0.87,0.91,61.7,Neutral,37.82
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,2546,0.41,0.88,90.78,Negative,81.31
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,1594,0.75,0.47,90.98,Positive,73.26
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,3202,0.16,0.88,63.66,Positive,55.3
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,2300,0.09,0.79,99.06,Positive,78.08
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,231,0.66,0.85,93.23,Positive,65.14
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,1507,0.95,0.45,94.13,Positive,54.82
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,1549,0.61,0.83,82.94,Positive,63.04
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,3178,0.49,0.55,69.44,Neutral,65.13
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,2223,0.22,0.81,46.95,Neutral,86.66
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,980,0.65,0.56,44.16,Negative,59.99
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,3123,0.36,0.57,52.2,Neutral,71.88
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,4259,0.88,0.64,55.83,Negative,35.9
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,4808,0.93,0.54,41.03,Positive,22.66
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,3019,0.39,0.52,71.9,Neutral,78.72
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,896,0.03,0.88,57.41,Positive,80.76
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,2394,0.83,0.64,81.85,Positive,35.62
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,1437,0.95,0.78,49.86,Neutral,37.95
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,3959,0.35,0.55,97.73,Neutral,47.84
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,4485,0.86,0.6,96.37,Neutral,58.92
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,3587,0.58,0.77,74.88,Negative,75.98
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,264,0.29,0.57,99.0,Positive,43.72
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,3117,0.52,0.55,34.36,Positive,34.53
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,2061,0.39,0.77,60.78,Negative,37.44
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,2006,0.71,0.47,46.81,Neutral,61.6
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,1065,0.76,0.45,42.78,Neutral,57.7
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,4181,0.21,0.74,88.29,Negative,94.58
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,3047,0.77,0.71,37.48,Negative,48.03
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,4300,0.41,0.65,41.81,Neutral,85.25
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Government Website,8,191,0.67,0.76,59.14,Neutral,69.59
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,659,0.1,0.49,54.33,Neutral,45.15
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,1087,0.63,0.49,59.93,Neutral,36.26
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,3900,0.09,0.6,42.18,Neutral,39.1
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,2198,0.72,0.5,79.91,Neutral,63.28
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Blog,4,4602,0.13,0.54,36.97,Positive,50.1
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,3184,0.67,0.91,54.78,Negative,68.15
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,3232,0.13,0.64,72.09,Neutral,86.42
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,1476,0.61,0.84,35.3,Negative,55.54
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,2303,0.02,0.89,65.78,Positive,58.41
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Blog,4,3846,0.32,0.85,32.12,Positive,42.53
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,2290,0.07,0.82,84.58,Neutral,64.57
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,4466,0.57,0.7,39.66,Neutral,66.34
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,2133,0.53,0.68,68.8,Positive,58.94
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,1762,0.67,0.5,70.24,Negative,62.74
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,143,0.35,0.9,66.4,Positive,67.55
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,3414,0.29,0.55,95.42,Positive,77.67
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,358,0.57,0.74,77.9,Neutral,83.33
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,4397,0.21,0.85,85.96,Neutral,61.33
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,3762,0.13,0.72,64.34,Neutral,97.8
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,3255,0.7,0.77,73.54,Positive,42.18
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,4206,0.5,0.69,87.52,Negative,44.26
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,3768,0.28,0.58,70.55,Negative,85.83
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,3677,0.36,0.72,71.0,Neutral,79.6
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,1736,0.65,0.81,75.3,Negative,84.13
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,4161,0.79,0.51,55.54,Negative,67.1
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3529,0.76,0.69,87.34,Neutral,82.77
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,1353,0.44,0.52,70.79,Neutral,69.01
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,3330,0.56,0.59,62.31,Neutral,63.79
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,3999,0.22,0.71,41.14,Neutral,52.26
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,404,0.66,0.43,83.86,Positive,53.59
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,4675,0.76,0.63,87.52,Positive,56.12
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,2057,0.65,0.66,48.69,Negative,37.03
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,1223,0.17,0.55,85.59,Neutral,45.12
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,2017,0.49,0.92,78.64,Negative,55.71
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,News Article,6,1140,0.78,0.46,96.95,Negative,58.7
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,2302,0.2,1.0,74.75,Negative,76.05
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,1212,0.28,0.53,75.68,Neutral,75.04
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,1713,0.72,0.81,53.3,Negative,31.46
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,4207,0.89,0.8,94.65,Negative,87.21
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,2543,0.51,0.93,41.27,Negative,33.67
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,2717,0.32,0.8,40.94,Positive,36.48
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,4004,0.62,0.51,71.54,Negative,68.83
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,4050,0.01,0.6,96.22,Neutral,100.0
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,2037,0.14,0.92,47.19,Neutral,48.25
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,4251,0.09,0.63,73.54,Negative,84.81
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,4089,0.95,0.68,49.88,Negative,29.5
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,3189,0.2,0.94,74.29,Negative,50.96
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Research Paper,9,2478,0.13,0.94,87.28,Negative,100.0
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,624,0.47,0.8,64.38,Neutral,52.9
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,2106,0.59,0.48,59.95,Negative,76.98
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,3870,0.83,0.93,38.34,Neutral,33.34
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,2021,0.39,1.0,97.18,Neutral,79.41
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,326,0.38,0.87,70.89,Neutral,76.56
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,2438,0.43,0.52,80.92,Negative,89.5
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,1610,0.99,0.5,55.93,Negative,57.12
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,4978,0.9,0.73,94.47,Neutral,79.78
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,1568,0.17,0.95,40.07,Positive,52.67
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,701,0.45,0.48,49.1,Negative,33.17
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,4700,0.27,0.44,39.32,Positive,69.29
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,3388,0.19,0.72,96.52,Positive,47.97
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,1629,0.9,0.99,51.38,Negative,56.15
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,1286,0.99,0.94,75.54,Positive,73.61
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,3689,0.72,0.47,73.73,Positive,59.18
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,4964,0.82,0.69,40.9,Neutral,73.29
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,3331,0.27,0.7,74.04,Neutral,50.52
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,919,0.91,0.96,47.62,Positive,31.8
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,4074,0.82,0.75,41.82,Positive,73.63
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,4736,0.23,0.73,93.16,Negative,82.06
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,4486,0.14,0.5,56.2,Neutral,84.93
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,3653,0.06,0.52,90.54,Negative,85.52
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,114,0.4,0.81,81.39,Neutral,80.79
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,2562,0.05,0.91,80.0,Neutral,60.28
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,4771,0.79,0.74,41.94,Neutral,46.59
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,4444,0.25,0.54,60.23,Negative,66.93
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,3658,0.92,0.5,86.41,Positive,63.32
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,2887,0.1,0.59,90.58,Positive,100.0
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,338,0.59,0.96,80.01,Neutral,88.03
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,3363,0.79,0.5,56.49,Positive,27.02
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,3268,0.56,0.72,97.61,Neutral,41.41
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,2879,0.02,0.86,97.29,Positive,88.34
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,2751,0.29,0.81,78.57,Negative,52.75
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,4561,0.54,0.77,68.95,Positive,79.63
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,877,0.92,0.55,44.09,Neutral,25.23
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Social Media Post,3,4590,0.87,0.49,40.19,Negative,21.03
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,1175,0.81,0.84,92.02,Negative,38.12
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,3335,0.26,0.52,39.12,Negative,72.35
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,3185,0.23,0.67,42.43,Positive,75.32
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Blog,4,1395,0.89,0.86,92.86,Positive,47.5
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,4874,0.68,0.93,82.11,Neutral,43.16
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,1197,0.75,0.85,37.09,Neutral,65.81
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,4912,0.61,0.52,98.1,Neutral,35.93
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Government Website,8,4805,0.55,0.86,83.2,Neutral,80.05
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,2858,0.8,0.79,99.45,Positive,68.31
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,1468,0.4,0.85,33.7,Neutral,66.87
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,2080,0.02,0.67,86.17,Positive,88.74
